0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1059.0,1105.4,1151.8,1244.5,1337.3,1430.0,1522.8,1615.5,1708.3,1801.1,1940.2,2079.3,2218.5,2496.7,2775.0,3525.0,4400.0
70.0,158.9,247.8,425.7,603.5,781.4,959.2,1137.1,1314.9,1492.8,1759.6,2026.3,2293.1,2826.6,3360.2,3893.7,4516.2
-3200.0,-3052.1,-2904.2,-2608.4,-2312.6,-2016.9,-1721.1,-1425.3,-1129.5,-833.7,-390.0,53.6,497.3,1384.7,2272.0,3330.8,4566.0
-3188.9,-3044.9,-2900.9,-2600.0,-2289.5,-1979.1,-1680.8,-1385.1,-1089.3,-793.5,-349.8,93.9,537.5,1424.9,2312.2,3309.1,4544.3
-3177.8,-3033.8,-2889.8,-2601.8,-2310.4,-1999.9,-1689.5,-1379.0,-1068.6,-758.1,-309.6,134.1,577.8,1465.1,2352.5,3287.4,4522.7
-3166.7,-3022.7,-2878.7,-2590.7,-2302.7,-2014.8,-1710.4,-1399.9,-1089.5,-779.0,-313.3,152.3,618.0,1505.4,2392.7,3280.1,4501.0
-3155.6,-3011.6,-2867.6,-2579.6,-2291.6,-2003.7,-1715.7,-1420.8,-1110.3,-799.9,-334.2,131.5,597.1,1528.5,2432.9,3320.3,4479.3
-3144.4,-3000.5,-2856.5,-2568.5,-2280.5,-1992.5,-1704.6,-1416.6,-1128.6,-820.8,-355.1,110.6,576.3,1507.6,2439.0,3360.5,4457.7
-3133.3,-2989.3,-2845.4,-2557.4,-2269.4,-1981.4,-1693.5,-1405.5,-1117.5,-829.5,-376.0,89.7,555.4,1486.7,2418.1,3349.4,4436.0
-3122.2,-2978.2,-2834.2,-2546.3,-2258.3,-1970.3,-1682.3,-1394.4,-1106.4,-818.4,-386.5,68.9,534.5,1465.9,2397.2,3328.6,4218.6
-3111.1,-2967.1,-2823.1,-2535.2,-2247.2,-1959.2,-1671.2,-1383.3,-1095.3,-807.3,-375.3,56.6,513.7,1445.0,2376.3,3307.7,4001.2
-3100.0,-2956.0,-2812.0,-2524.0,-2236.1,-1948.1,-1660.1,-1372.1,-1084.2,-796.2,-364.2,67.7,499.7,1424.1,2355.5,3286.8,3783.7
-3088.9,-2944.9,-2800.9,-2512.9,-2225.0,-1937.0,-1649.0,-1361.0,-1073.1,-785.1,-353.1,78.8,510.8,1403.3,2334.6,3220.6,3566.3
-3077.8,-2933.8,-2789.8,-2501.8,-2213.8,-1925.9,-1637.9,-1349.9,-1061.9,-774.0,-342.0,90.0,521.9,1385.8,2313.7,3003.2,3348.9
-3066.7,-2922.7,-2778.7,-2490.7,-2202.7,-1914.8,-1626.8,-1338.8,-1050.8,-762.9,-330.9,101.1,533.0,1397.0,2292.9,2785.8,3131.5
-3055.6,-2911.6,-2767.6,-2479.6,-2191.6,-1903.7,-1615.7,-1327.7,-1039.7,-751.7,-319.8,112.2,544.1,1408.1,2272.0,2568.3,2914.1
-3044.4,-2900.5,-2756.5,-2468.5,-2180.5,-1892.5,-1604.6,-1316.6,-1028.6,-740.6,-308.7,123.3,555.3,1438.7,2034.2,2350.9,2696.7
-3033.3,-2889.3,-2745.4,-2457.4,-2169.4,-1881.4,-1593.5,-1305.5,-1017.5,-729.5,-297.6,134.4,605.3,1435.4,1796.4,2133.5,2479.3
-3022.2,-2878.2,-2734.2,-2446.3,-2158.3,-1870.3,-1582.3,-1294.4,-1006.4,-701.7,-228.0,245.6,719.3,1197.6,1558.6,1972.3,2261.8
-3011.1,-2867.1,-2723.1,-2435.2,-2147.2,-1850.9,-1535.1,-1219.3,-903.5,-587.7,-114.0,359.7,598.8,959.8,1320.8,1836.2,2044.4
-3000.0,-2842.1,-2684.2,-2368.4,-2052.6,-1736.8,-1421.1,-1105.3,-789.5,-473.7,-0.0,180.5,361.0,722.0,1083.0,1700.0,1827.0
